date,ride_count
2020-01-01,3140
2020-01-02,6184
2020-01-03,6462
2020-01-04,4399
2020-01-05,4257
2020-01-06,8482
2020-01-07,8871
2020-01-08,9247
2020-01-09,9194
2020-01-10,9140
2020-01-11,5583
2020-01-12,5199
2020-01-13,9217
2020-01-14,10390
2020-01-15,10824
2020-01-16,6083
2020-01-17,10634
2020-01-18,7791
2020-01-19,6720
2020-01-20,7913
2020-01-21,9299
2020-01-22,13729
2020-01-23,13813
2020-01-24,14239
2020-01-25,10723
2020-01-26,9246
2020-01-27,14078
2020-01-28,13407
2020-01-29,15797
2020-01-30,16010
2020-01-31,15783
2020-02-01,12263
2020-02-02,10003
2020-02-03,14830
2020-02-04,15383
2020-02-05,16154
2020-02-06,16753
2020-02-07,16512
2020-02-08,13007
2020-02-09,9937
2020-02-10,16168
2020-02-11,17425
2020-02-12,17381
2020-02-13,16453
2020-02-14,15535
2020-02-15,11693
2020-02-16,11197
2020-02-17,12200
2020-02-18,15972
2020-02-19,16615
2020-02-20,17062
2020-02-21,16897
2020-02-22,11212
2020-02-23,11068
2020-02-24,15586
2020-02-25,16774
2020-02-26,16708
2020-02-27,17337
2020-02-28,16341
2020-02-29,10323
2020-03-01,7565
2020-03-01,9623
2020-03-02,13948
2020-03-03,13936
2020-03-04,13755
2020-03-05,12590
2020-03-06,10739
2020-03-07,5842
2020-03-08,6208
2020-03-09,10274
2020-03-10,10224
2020-03-11,9682
2020-03-12,8035
2020-03-13,6644
2020-03-14,2302
2020-03-15,3008
2020-03-16,3902
2020-03-17,2269
2020-03-18,2029
2020-03-19,2521
2020-03-20,2700
2020-03-21,3214
2020-03-22,2830
2020-03-23,1914
2020-03-24,1512
2020-03-25,2163
2020-03-26,2216
2020-03-27,2330
2020-03-28,2019
2020-03-29,2009
2020-03-30,2249
2020-03-31,2380
2020-04-01,1732
2020-04-01,2505
2020-04-02,2321
2020-04-03,2694
2020-04-04,1330
2020-04-05,1504
2020-04-06,1177
2020-04-07,2446
2020-04-08,2226
2020-04-09,2371
2020-04-10,2759
2020-04-11,2775
2020-04-12,2949
2020-04-13,2387
2020-04-14,2997
2020-04-15,2842
2020-04-16,2332
2020-04-17,2626
2020-04-18,4031
2020-04-19,3713
2020-04-20,2421
2020-04-21,2653
2020-04-22,2906
2020-04-23,3081
2020-04-24,3656
2020-04-25,5381
2020-04-26,4097
2020-04-27,2808
2020-04-28,3318
2020-04-29,2765
2020-04-30,3188
2020-05-01,3835
2020-05-02,4869
2020-05-03,5388
2020-05-04,3202
2020-05-05,3285
2020-05-06,3503
2020-05-07,3738
2020-05-08,4399
2020-05-09,4844
2020-05-10,4280
2020-05-11,2386
2020-05-12,3074
2020-05-13,2870
2020-05-14,2749
2020-05-15,4203
2020-05-16,6296
2020-05-17,4854
2020-05-18,3395
2020-05-19,3819
2020-05-20,3752
2020-05-21,4099
2020-05-22,5344
2020-05-23,7051
2020-05-24,7090
2020-05-25,6966
2020-05-26,4263
2020-05-27,4360
2020-05-28,3967
2020-05-29,4694
2020-05-30,5812
2020-05-31,5864
2020-06-01,4579
2020-06-02,4624
2020-06-03,7156
2020-06-04,4523
2020-06-05,5130
2020-06-06,7174
2020-06-07,6028
2020-06-08,4355
2020-06-09,4991
2020-06-10,4940
2020-06-11,4714
2020-06-12,5146
2020-06-13,7236
2020-06-14,5927
2020-06-15,4316
2020-06-16,4846
2020-06-17,5318
2020-06-18,5513
2020-06-19,6325
2020-06-20,6028
2020-06-21,5246
2020-06-22,4240
2020-06-23,4475
2020-06-24,4816
2020-06-25,4653
2020-06-26,5079
2020-06-27,5661
2020-06-28,5608
2020-06-29,4610
2020-06-30,4911
2020-07-01,4689
2020-07-02,5018
2020-07-03,5165
2020-07-04,5841
2020-07-05,5089
2020-07-06,4431
2020-07-07,4746
2020-07-08,4631
2020-07-09,4984
2020-07-10,5166
2020-07-11,7084
2020-07-12,6033
2020-07-13,4001
2020-07-14,4578
2020-07-15,4702
2020-07-16,4544
2020-07-17,5320
2020-07-18,6406
2020-07-19,5340
2020-07-20,4069
2020-07-21,4321
2020-07-22,4642
2020-07-23,4622
2020-07-24,4846
2020-07-25,6592
2020-07-26,5553
2020-07-27,4175
2020-07-28,4335
2020-07-29,4459
2020-07-30,4470
2020-07-31,5115
2020-08-01,6409
2020-08-02,5410
2020-08-03,4291
2020-08-04,4243
2020-08-05,4274
2020-08-06,4760
2020-08-07,5295
2020-08-08,6138
2020-08-09,5160
2020-08-10,4050
2020-08-11,4349
2020-08-12,4695
2020-08-13,5105
2020-08-14,6077
2020-08-15,6983
2020-08-16,4852
2020-08-17,4270
2020-08-18,5019
2020-08-19,4389
2020-08-20,4488
2020-08-21,5310
2020-08-22,6396
2020-08-23,4730
2020-08-24,4086
2020-08-25,4163
2020-08-26,4219
2020-08-27,4502
2020-08-28,4667
2020-08-29,5356
2020-08-30,4873
2020-08-31,3887
2020-09-01,4117
2020-09-02,4690
2020-09-03,4445
2020-09-04,5508
2020-09-05,6576
2020-09-06,5723
2020-09-07,5048
2020-09-08,4089
2020-09-09,3368
2020-09-10,3013
2020-09-11,3271
2020-09-12,3769
2020-09-13,3329
2020-09-14,3410
2020-09-15,4369
2020-09-16,4947
2020-09-17,4830
2020-09-18,5589
2020-09-19,6908
2020-09-20,5704
2020-09-21,4324
2020-09-22,4525
2020-09-23,5023
2020-09-24,4792
2020-09-25,5615
2020-09-26,7086
2020-09-27,6218
2020-09-28,4554
2020-09-29,4476
2020-09-30,4768
2020-10-01,4460
2020-10-02,4784
2020-10-03,6634
2020-10-04,5062
2020-10-05,4284
2020-10-06,4370
2020-10-07,4545
2020-10-08,4415
2020-10-09,5572
2020-10-10,5927
2020-10-11,6342
2020-10-12,4959
2020-10-13,5073
2020-10-14,5371
2020-10-15,5496
2020-10-16,6145
2020-10-17,7631
2020-10-18,6014
2020-10-19,4451
2020-10-20,4914
2020-10-21,5098
2020-10-22,4935
2020-10-23,5838
2020-10-24,6343
2020-10-25,5752
2020-10-26,4743
2020-10-27,5091
2020-10-28,5057
2020-10-29,5329
2020-10-30,5886
2020-10-31,7020
2020-11-01,6000
2020-11-02,4674
2020-11-03,5196
2020-11-04,4583
2020-11-05,4848
2020-11-06,5295
2020-11-07,7003
2020-11-08,4132
2020-11-09,3892
2020-11-10,4314
2020-11-11,4576
2020-11-12,4563
2020-11-13,3281
2020-11-14,5704
2020-11-15,5034
2020-11-16,4299
2020-11-17,2713
2020-11-18,3994
2020-11-19,4356
2020-11-20,5044
2020-11-21,5111
2020-11-22,4086
2020-11-23,3857
2020-11-24,4036
2020-11-25,4336
2020-11-26,2646
2020-11-27,3786
2020-11-28,4205
2020-11-29,3865
2020-11-30,3591
2020-12-01,3809
2020-12-02,3846
2020-12-03,4016
2020-12-04,4490
2020-12-05,5115
2020-12-06,4013
2020-12-07,3678
2020-12-08,3779
2020-12-09,3602
2020-12-10,3564
2020-12-11,3130
2020-12-12,3879
2020-12-13,1489
2020-12-14,3248
2020-12-15,3389
2020-12-16,3343
2020-12-17,3350
2020-12-18,3780
2020-12-19,4114
2020-12-20,3549
2020-12-21,3259
2020-12-22,3425
2020-12-23,3437
2020-12-24,2947
2020-12-25,1139
2020-12-26,2784
2020-12-27,2839
2020-12-28,2908
2020-12-29,3466
2020-12-30,3271
2020-12-31,3764
2021-01-01,2789
2021-01-02,1912
2021-01-03,2720
2021-01-04,2175
2021-01-05,3167
2021-01-06,2635
2021-01-07,3134
2021-01-08,3187
2021-01-09,4311
2021-01-10,3254
2021-01-11,3022
2021-01-12,2890
2021-01-13,3492
2021-01-14,3452
2021-01-15,3895
2021-01-16,4699
2021-01-17,4948
2021-01-18,5085
2021-01-19,3242
2021-01-20,3456
2021-01-21,3340
2021-01-22,2903
2021-01-23,5146
2021-01-24,1911
2021-01-25,2868
2021-01-26,2011
2021-01-27,2037
2021-01-28,2113
2021-01-29,3784
2021-01-30,4581
2021-01-31,4204
2021-02-01,2897
2021-02-02,3181
2021-02-03,3648
2021-02-04,3669
2021-02-05,4307
2021-02-06,5605
2021-02-07,4285
2021-02-08,3184
2021-02-09,3359
2021-02-10,3856
2021-02-11,2379
2021-02-12,4273
2021-02-13,4536
2021-02-14,3466
2021-02-15,2699
2021-02-16,3247
2021-02-17,3857
2021-02-18,3725
2021-02-19,3496
2021-02-20,5130
2021-02-21,4845
2021-02-22,3885
2021-02-23,4206
2021-02-24,4169
2021-02-25,4136
2021-02-26,4413
2021-02-27,5460
2021-02-28,5160
2021-03-01,3685
2021-03-02,3968
2021-03-03,3827
2021-03-04,4018
2021-03-05,4708
2021-03-06,5482
2021-03-07,4587
2021-03-08,3315
2021-03-09,2788
2021-03-10,3086
2021-03-11,3754
2021-03-12,4613
2021-03-13,5093
2021-03-14,2596
2021-03-15,3250
2021-03-16,3974
2021-03-17,3951
2021-03-18,2012
2021-03-19,4562
2021-03-20,5602
2021-03-21,4822
2021-03-22,3927
2021-03-23,4142
2021-03-24,4332
2021-03-25,4352
2021-03-26,5309
2021-03-27,6498
2021-03-28,5306
2021-03-29,4178
2021-03-30,4740
2021-03-31,5483
2021-04-01,5546
2021-04-02,5380
2021-04-03,5479
2021-04-04,4430
2021-04-05,3920
2021-04-06,4412
2021-04-07,4686
2021-04-08,4927
2021-04-09,5296
2021-04-10,6174
2021-04-11,5219
2021-04-12,4248
2021-04-13,4347
2021-04-14,4707
2021-04-15,4867
2021-04-16,5085
2021-04-17,5934
2021-04-18,5484
2021-04-19,4284
2021-04-20,4752
2021-04-21,4335
2021-04-22,4239
2021-04-23,5096
2021-04-24,5651
2021-04-25,3071
2021-04-26,4375
2021-04-27,4872
2021-04-28,5344
2021-04-29,4821
2021-04-30,5021
2021-05-01,5512
2021-05-02,5369
2021-05-03,4803
2021-05-04,5133
2021-05-05,4939
2021-05-06,4933
2021-05-07,6206
2021-05-08,7075
2021-05-09,5657
2021-05-10,5206
2021-05-11,5257
2021-05-12,5186
2021-05-13,5344
2021-05-14,5425
2021-05-15,5582
2021-05-16,4668
2021-05-17,4204
2021-05-18,5128
2021-05-19,5046
2021-05-20,5306
2021-05-21,6776
2021-05-22,6911
2021-05-23,5253
2021-05-24,4913
2021-05-25,5220
2021-05-26,5329
2021-05-27,5857
2021-05-28,5857
2021-05-29,5434
2021-05-30,6312
2021-05-31,5801
