date,ride_count
2020-01-01,1536
2020-01-02,3771
2020-01-03,4329
2020-01-04,1450
2020-01-05,1926
2020-01-06,4514
2020-01-07,5068
2020-01-08,4649
2020-01-09,4090
2020-01-10,5088
2020-01-11,5342
2020-01-12,4935
2020-01-13,4637
2020-01-14,5490
2020-01-15,5992
2020-01-16,4269
2020-01-17,3054
2020-01-18,1476
2020-01-19,1653
2020-01-20,2117
2020-01-21,3965
2020-01-22,4721
2020-01-23,5285
2020-01-24,5333
2020-01-25,2456
2020-01-26,3700
2020-01-27,5795
2020-01-28,5623
2020-01-29,5587
2020-01-30,5206
2020-01-31,5541
2020-02-01,3488
2020-02-02,3653
2020-02-03,6153
2020-02-04,6429
2020-02-05,6229
2020-02-06,3328
2020-02-07,3531
2020-02-08,2827
2020-02-09,2719
2020-02-10,4293
2020-02-11,4438
2020-02-12,6450
2020-02-13,4406
2020-02-14,4383
2020-02-15,2303
2020-02-16,2898
2020-02-17,4122
2020-02-18,3597
2020-02-19,5723
2020-02-20,5063
2020-02-21,4466
2020-02-22,3981
2020-02-23,5073
2020-02-24,7149
2020-02-25,6691
2020-02-26,6502
2020-02-27,4659
2020-02-28,5436
2020-02-29,3245
2020-03-01,2806
2020-03-02,6095
2020-03-03,7648
2020-03-04,6573
2020-03-05,7161
2020-03-06,5712
2020-03-07,2484
2020-03-08,4131
2020-03-09,8671
2020-03-10,7851
2020-03-11,6797
2020-03-12,5407
2020-03-13,3273
2020-03-14,3957
2020-03-15,3001
2020-03-16,2238
2020-03-17,1719
2020-03-18,2646
2020-03-19,790
2020-03-20,2643
2020-03-21,2680
2020-03-22,1407
2020-03-23,662
2020-03-24,1318
2020-03-25,1088
2020-03-26,1616
2020-03-27,2198
2020-03-28,2413
2020-03-29,332
2020-03-30,725
2020-03-31,1308
2020-04-01,1167
2020-04-02,674
2020-04-03,388
2020-04-04,2070
2020-04-05,2073
2020-04-06,1928
2020-04-07,1988
2020-04-08,1219
2020-04-09,586
2020-04-10,1152
2020-04-11,2301
2020-04-12,2751
2020-04-13,324
2020-04-14,2027
2020-04-15,1468
2020-04-16,1358
2020-04-17,1580
2020-04-18,670
2020-04-19,3842
2020-04-20,1430
2020-04-21,846
2020-04-22,1127
2020-04-23,2079
2020-04-24,805
2020-04-25,4435
2020-04-26,1014
2020-04-27,351
2020-04-28,1665
2020-04-29,2122
2020-04-30,1353
2020-05-01,1444
2020-05-02,5190
2020-05-03,6194
2020-05-04,2541
2020-05-05,2687
2020-05-06,2173
2020-05-07,2910
2020-05-08,2037
2020-05-09,1438
2020-05-10,2749
2020-05-11,1359
2020-05-12,2486
2020-05-13,2995
2020-05-14,4256
2020-05-15,3541
2020-05-16,6172
2020-05-17,4894
2020-05-18,2799
2020-05-19,3235
2020-05-20,3726
2020-05-21,4795
2020-05-22,5958
2020-05-23,3898
2020-05-24,5543
2020-05-25,4426
2020-05-26,5004
2020-05-27,5217
2020-05-28,4446
2020-05-29,4997
2020-05-30,7698
2020-05-31,8071
2020-06-01,4210
2020-06-02,4890
2020-06-03,5300
2020-06-04,5588
2020-06-05,5427
2020-06-06,5991
2020-06-07,6474
2020-06-08,5968
2020-06-09,5591
2020-06-10,5965
2020-06-11,3305
2020-06-12,7484
2020-06-13,9447
2020-06-14,8417
2020-06-15,5643
2020-06-16,6625
2020-06-17,6920
2020-06-18,6949
2020-06-19,7942
2020-06-20,8363
2020-06-21,7205
2020-06-22,6463
2020-06-23,6977
2020-06-24,6414
2020-06-25,7765
2020-06-26,8493
2020-06-27,7228
2020-06-28,4806
2020-06-29,4634
2020-06-30,5359
2020-07-01,6457
2020-07-02,8118
2020-07-03,8142
2020-07-04,9800
2020-07-05,8078
2020-07-06,7386
2020-07-07,7546
2020-07-08,6967
2020-07-09,7920
2020-07-10,7800
2020-07-11,10344
2020-07-12,9109
2020-07-13,7034
2020-07-14,6641
2020-07-15,8829
2020-07-16,9047
2020-07-17,8372
2020-07-18,9925
2020-07-19,7668
2020-07-20,7068
