date,ride_count
2020-01-01,2141
2020-01-02,6479
2020-01-03,5890
2020-01-04,3187
2020-01-05,3035
2020-01-06,7073
2020-01-07,7297
2020-01-08,5449
2020-01-09,6804
2020-01-10,5697
2020-01-11,965
2020-01-12,1766
2020-01-13,6155
2020-01-14,7067
2020-01-15,6933
2020-01-16,5495
2020-01-17,3858
2020-01-18,1076
2020-01-19,895
2020-01-20,2932
2020-01-21,5187
2020-01-22,5514
2020-01-23,3613
2020-01-24,3657
2020-01-25,1728
2020-01-26,2542
2020-01-27,6314
2020-01-28,6676
2020-01-29,6455
2020-01-30,6576
2020-01-31,5428
2020-02-01,3204
2020-02-02,5417
2020-02-03,7278
2020-02-04,6162
2020-02-05,5371
2020-02-06,3247
2020-02-07,5247
2020-02-08,3239
2020-02-09,1817
2020-02-10,6328
2020-02-11,6472
2020-02-12,4913
2020-02-13,3035
2020-02-14,2993
2020-02-15,1842
2020-02-16,2930
2020-02-17,3605
2020-02-18,6618
2020-02-19,5730
2020-02-20,4903
2020-02-21,5509
2020-02-22,5455
2020-02-23,7765
2020-02-24,6723
2020-02-25,4986
2020-02-26,4107
2020-02-27,5704
2020-02-28,5348
2020-02-29,3637
2020-03-01,7413
2020-03-02,8335
2020-03-03,8218
2020-03-04,8396
2020-03-05,8269
2020-03-06,6138
2020-03-07,6703
2020-03-08,11170
2020-03-09,4505
2020-03-10,7827
2020-03-11,7631
2020-03-12,8349
2020-03-13,7077
2020-03-14,2979
2020-03-15,3318
2020-03-16,3626
2020-03-17,4398
2020-03-18,2110
2020-03-19,2002
2020-03-20,2331
2020-03-21,2126
2020-03-22,1321
2020-03-23,1966
2020-03-24,2431
2020-03-25,5161
2020-03-26,1664
2020-03-27,1490
2020-03-28,1443
2020-03-29,1461
2020-03-30,1938
2020-03-31,1622
2020-04-01,2294
2020-04-02,2608
2020-04-03,3532
2020-04-04,2288
2020-04-05,2887
2020-04-06,2427
2020-04-07,5185
2020-04-08,2365
2020-04-09,1972
2020-04-10,2721
2020-04-11,4458
2020-04-12,3670
2020-04-13,1820
2020-04-14,1609
2020-04-15,1419
2020-04-16,2272
2020-04-17,1435
2020-04-18,5116
2020-04-19,5158
2020-04-20,3903
2020-04-21,2627
2020-04-22,1995
2020-04-23,2284
2020-04-24,2284
2020-04-25,1048
2020-04-26,6200
2020-04-27,2595
2020-04-28,3392
2020-04-29,645
2020-04-30,2567
2020-05-01,4751
2020-05-02,11811
2020-05-03,9414
2020-05-04,2634
2020-05-05,1953
2020-05-06,4775
2020-05-07,4997
2020-05-08,2793
2020-05-09,7945
2020-05-10,1394
2020-05-11,2871
2020-05-12,4745
2020-05-13,5762
2020-05-14,3036
2020-05-15,7031
2020-05-16,8975
2020-05-17,691
2020-05-18,3885
2020-05-19,2852
2020-05-20,6348
2020-05-21,5602
2020-05-22,7569
2020-05-23,8784
2020-05-24,14836
2020-05-25,14268
2020-05-26,7711
2020-05-27,8121
2020-05-28,6785
2020-05-29,10580
2020-05-30,17162
2020-05-31,193
2020-06-03,6296
2020-06-04,7628
2020-06-05,8922
2020-06-06,15239
2020-06-07,13224
2020-06-08,10368
2020-06-09,5608
2020-06-10,7676
2020-06-11,12275
2020-06-12,11989
2020-06-13,14278
2020-06-14,14602
2020-06-15,10164
2020-06-16,12081
2020-06-17,12827
2020-06-18,13319
2020-06-19,16307
2020-06-20,14665
2020-06-21,14824
2020-06-22,7036
2020-06-23,13692
2020-06-24,12890
2020-06-25,16001
2020-06-26,6228
2020-06-27,20499
2020-06-28,20383
2020-06-29,9395
2020-06-30,14589
2020-07-01,15827
2020-07-02,16560
2020-07-03,20296
2020-07-04,19931
2020-07-05,18538
2020-07-06,14826
2020-07-07,14450
2020-07-08,15885
2020-07-09,14801
2020-07-10,16912
2020-07-11,23072
2020-07-12,22680
2020-07-13,16633
2020-07-14,17311
2020-07-15,9357
2020-07-16,17263
2020-07-17,19923
2020-07-18,22991
2020-07-19,14582
2020-07-20,16023
2020-07-21,12546
2020-07-22,17332
2020-07-23,18586
2020-07-24,20673
2020-07-25,26410
2020-07-26,19811
2020-07-27,15074
2020-07-28,18182
2020-07-29,15483
2020-07-30,17846
2020-07-31,21676
2020-08-01,23256
2020-08-02,15367
2020-08-03,13039
2020-08-04,17746
2020-08-05,17856
2020-08-06,19837
2020-08-07,22584
2020-08-08,28709
2020-08-09,23200
2020-08-10,9747
2020-08-11,17835
2020-08-12,18418
2020-08-13,18646
2020-08-14,20396
2020-08-15,23469
2020-08-16,24522
2020-08-17,17144
2020-08-18,19278
2020-08-19,19624
2020-08-20,20037
2020-08-21,22521
2020-08-22,28882
2020-08-23,20542
2020-08-24,16372
2020-08-25,17519
2020-08-26,18439
2020-08-27,17008
2020-08-28,19899
2020-08-29,28297
2020-08-30,24790
2020-08-31,17382
2020-09-01,10708
2020-09-02,19594
2020-09-03,19030
2020-09-04,22253
2020-09-05,28719
2020-09-06,17207
2020-09-07,23731
2020-09-08,6835
2020-09-09,12545
2020-09-10,10529
2020-09-11,14832
2020-09-12,11164
2020-09-13,23970
2020-09-14,15170
2020-09-15,18228
2020-09-16,19258
2020-09-17,17094
2020-09-18,16987
2020-09-19,23356
2020-09-20,21134
2020-09-21,15791
2020-09-22,17948
2020-09-23,18531
2020-09-24,19027
2020-09-25,22771
2020-09-26,26150
2020-09-27,20874
2020-09-28,11110
2020-09-29,14294
2020-09-30,14118
2020-10-01,11243
2020-10-02,14832
2020-10-03,14634
2020-10-04,12875
2020-10-05,12533
2020-10-06,16126
2020-10-07,17471
2020-10-08,16519
2020-10-09,21322
2020-10-10,24935
2020-10-11,19713
2020-10-12,9764
2020-10-13,15626
2020-10-14,15358
2020-10-15,12565
2020-10-16,11856
2020-10-17,14521
2020-10-18,5222
2020-10-19,7468
2020-10-20,9273
2020-10-21,10302
2020-10-22,13228
2020-10-23,7042
2020-10-24,12452
2020-10-25,8627
2020-10-26,6611
2020-10-27,6178
2020-10-28,9661
2020-10-29,8139
2020-10-30,9378
2020-10-31,13179
2020-11-01,5973
2020-11-02,8116
2020-11-03,11987
2020-11-04,12030
2020-11-05,12459
2020-11-06,16044
2020-11-07,23846
2020-11-08,18439
2020-11-09,14098
2020-11-10,9094
2020-11-11,8717
2020-11-12,9084
2020-11-13,8115
2020-11-14,7144
2020-11-15,3447
2020-11-16,7136
