date,ride_count
2020-01-01,572
2020-01-02,901
2020-01-03,972
2020-01-04,685
2020-01-05,632
2020-01-06,959
2020-01-07,969
2020-01-08,978
2020-01-09,901
2020-01-10,1175
2020-01-11,721
2020-01-12,686
2020-01-13,1036
2020-01-14,953
2020-01-15,899
2020-01-16,979
2020-01-17,992
2020-01-18,834
2020-01-19,716
2020-01-20,719
2020-01-21,898
2020-01-22,911
2020-01-23,1021
2020-01-24,1111
2020-01-25,802
2020-01-26,692
2020-01-27,1071
2020-01-28,1135
2020-01-29,1121
2020-01-30,1099
2020-01-31,1065
2020-02-01,801
2020-02-02,675
2020-02-03,848
2020-02-04,938
2020-02-05,1039
2020-02-06,1073
2020-02-07,1027
2020-02-08,739
2020-02-09,555
2020-02-10,963
2020-02-11,982
2020-02-12,1044
2020-02-13,1149
2020-02-14,1067
2020-02-15,897
2020-02-16,884
2020-02-17,755
2020-02-18,1036
2020-02-19,1054
2020-02-20,1157
2020-02-21,1243
2020-02-22,811
2020-02-23,1048
2020-02-24,1042
2020-02-25,1225
2020-02-26,1306
2020-02-27,1240
2020-02-28,1209
2020-02-29,983
2020-03-01,651
2020-03-02,1030
2020-03-03,1192
2020-03-04,1058
2020-03-05,1103
2020-03-06,1105
2020-03-07,810
2020-03-08,766
2020-03-09,966
2020-03-10,570
2020-03-11,954
2020-03-12,509
2020-03-13,499
2020-03-14,349
2020-03-15,533
2020-03-16,352
2020-03-17,511
2020-03-18,584
2020-03-19,504
2020-03-20,517
2020-03-21,529
2020-03-22,389
2020-03-23,383
2020-03-24,401
2020-03-25,396
2020-03-26,444
2020-03-27,464
2020-03-28,491
2020-03-29,414
2020-03-30,438
2020-03-31,484
2020-04-01,554
2020-04-02,578
2020-04-03,590
2020-04-04,647
2020-04-05,463
2020-04-06,297
2020-04-07,331
2020-04-08,449
2020-04-09,115
2020-04-10,378
2020-04-11,689
2020-04-12,440
2020-04-13,499
2020-04-14,520
2020-04-15,522
2020-04-16,539
2020-04-17,639
2020-04-18,527
2020-04-19,657
2020-04-20,549
2020-04-21,627
2020-04-22,619
2020-04-23,675
2020-04-24,574
2020-04-25,687
2020-04-26,656
2020-04-27,625
2020-04-28,617
2020-04-29,613
2020-04-30,609
2020-05-01,720
2020-05-02,910
2020-05-03,708
2020-05-04,651
2020-05-05,641
2020-05-06,595
2020-05-07,652
2020-05-08,637
2020-05-09,882
2020-05-10,762
2020-05-11,563
2020-05-12,526
2020-05-13,626
2020-05-14,797
2020-05-15,762
2020-05-16,889
2020-05-17,804
2020-05-18,331
2020-05-19,612
2020-05-20,604
2020-05-21,744
2020-05-22,750
2020-05-23,908
2020-05-24,916
2020-05-25,790
2020-05-26,582
2020-05-27,620
2020-05-28,633
2020-05-29,635
2020-05-30,747
2020-05-31,517
2020-06-01,395
2020-06-02,584
2020-06-03,590
2020-06-04,675
2020-06-05,606
2020-06-06,792
2020-06-07,679
2020-06-08,492
2020-06-09,550
2020-06-10,475
2020-06-11,501
2020-06-12,565
2020-06-13,621
2020-06-14,591
2020-06-15,503
2020-06-16,549
