,date,site,count,name,latitude,longitude,installationdate
0,2012-08-31,100005020,4684.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
2,2012-08-31,100051865,4684.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
3,2012-08-31,100062893,4684.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
4,2012-09-01,100005020,3042.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
6,2012-09-01,100051865,3042.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
7,2012-09-01,100062893,3042.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
8,2012-09-02,100005020,2902.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
10,2012-09-02,100051865,2902.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
11,2012-09-02,100062893,2902.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
12,2012-09-03,100005020,2481.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
14,2012-09-03,100051865,2481.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
15,2012-09-03,100062893,2481.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
16,2012-09-04,100005020,2429.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
18,2012-09-04,100051865,2429.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
19,2012-09-04,100062893,2429.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
20,2012-09-05,100005020,3189.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
22,2012-09-05,100051865,3189.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
23,2012-09-05,100062893,3189.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
24,2012-09-06,100005020,5008.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
26,2012-09-06,100051865,5008.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
27,2012-09-06,100062893,5008.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
28,2012-09-07,100005020,4818.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
30,2012-09-07,100051865,4818.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
31,2012-09-07,100062893,4818.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
32,2012-09-08,100005020,2197.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
34,2012-09-08,100051865,2197.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
35,2012-09-08,100062893,2197.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
36,2012-09-09,100005020,4470.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
38,2012-09-09,100051865,4470.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
39,2012-09-09,100062893,4470.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
40,2012-09-10,100005020,5435.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
42,2012-09-10,100051865,5435.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
43,2012-09-10,100062893,5435.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
44,2012-09-11,100005020,5962.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
46,2012-09-11,100051865,5962.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
47,2012-09-11,100062893,5962.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
48,2012-09-12,100005020,5817.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
50,2012-09-12,100051865,5817.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
51,2012-09-12,100062893,5817.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
52,2012-09-13,100005020,5557.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
54,2012-09-13,100051865,5557.0,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,2012-08-31
55,2012-09-13,100062893,5557.0,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,2012-08-31
56,2012-09-14,100005020,5257.0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,2012-08-31
