date,ride_count
2020-01-01,649
2020-01-02,1343
2020-01-03,1102
2020-01-04,776
2020-01-05,834
2020-01-06,1525
2020-01-07,1137
2020-01-08,1372
2020-01-09,1453
2020-01-10,1641
2020-01-11,1629
2020-01-12,1586
2020-01-13,1705
2020-01-14,1434
2020-01-15,1913
2020-01-16,1647
2020-01-17,1287
2020-01-18,512
2020-01-19,841
2020-01-20,925
2020-01-21,1340
2020-01-22,1466
2020-01-23,1536
2020-01-24,1644
2020-01-25,520
2020-01-26,950
2020-01-27,1456
2020-01-28,1535
2020-01-29,1605
2020-01-30,1548
2020-01-31,1434
2020-02-01,994
2020-02-02,799
2020-02-03,1759
2020-02-04,1460
2020-02-05,1411
2020-02-06,989
2020-02-07,1205
2020-02-08,914
2020-02-09,1019
2020-02-10,864
2020-02-11,1207
2020-02-12,1564
2020-02-13,1184
2020-02-14,1232
2020-02-15,709
2020-02-16,1029
2020-02-17,1639
2020-02-18,1885
2020-02-19,1860
2020-02-20,1639
2020-02-21,1464
2020-02-22,1224
2020-02-23,1275
2020-02-24,1906
2020-02-25,1234
2020-02-26,1784
2020-02-27,1405
2020-02-28,1582
2020-02-29,905
2020-03-01,1003
2020-03-02,1937
2020-03-03,1686
2020-03-04,2058
2020-03-05,2025
2020-03-06,1071
2020-03-07,1116
2020-03-08,1420
2020-03-09,2336
2020-03-10,1959
2020-03-11,2100
2020-03-12,1827
2020-03-13,1711
2020-03-14,1511
2020-03-15,1175
2020-03-16,1107
2020-03-17,898
2020-03-18,1135
2020-03-19,926
2020-03-20,1383
2020-03-21,1416
2020-03-22,824
2020-03-23,262
2020-03-24,997
2020-03-25,582
2020-03-26,1247
2020-03-27,1332
2020-03-28,311
2020-03-29,853
2020-03-30,807
2020-03-31,689
2020-04-01,871
2020-04-02,794
2020-04-03,847
2020-04-04,1065
2020-04-05,1389
2020-04-06,1313
2020-04-07,1173
2020-04-08,1164
2020-04-09,818
2020-04-10,758
2020-04-11,1293
2020-04-12,1423
2020-04-13,511
2020-04-14,1106
2020-04-15,967
2020-04-16,886
2020-04-17,962
2020-04-18,835
2020-04-19,1559
2020-04-20,974
2020-04-21,815
2020-04-22,969
2020-04-23,824
2020-04-24,609
2020-04-25,2324
2020-04-26,455
2020-04-27,775
2020-04-28,1585
2020-04-29,1269
2020-04-30,689
2020-05-01,1320
2020-05-02,3066
2020-05-03,2458
2020-05-04,1756
2020-05-05,1508
2020-05-06,874
2020-05-07,2082
2020-05-08,843
2020-05-09,962
2020-05-10,1925
2020-05-11,1013
2020-05-12,1384
2020-05-13,1968
2020-05-14,2116
2020-05-15,2655
2020-05-16,3695
2020-05-17,2881
2020-05-18,1912
2020-05-19,1988
2020-05-20,1832
2020-05-21,2535
2020-05-22,1216
2020-05-23,1918
2020-05-24,2992
2020-05-25,3068
2020-05-26,2771
2020-05-27,2889
2020-05-28,2029
2020-05-29,2482
2020-05-30,3841
2020-05-31,2820
2020-06-01,2258
2020-06-02,2172
2020-06-03,1644
2020-06-04,2415
2020-06-05,1687
2020-06-06,4147
2020-06-07,3713
2020-06-08,2850
2020-06-09,2882
2020-06-10,2742
2020-06-11,1917
2020-06-12,3296
2020-06-13,4095
2020-06-14,3995
2020-06-15,2962
2020-06-16,3239
2020-06-17,3024
