DATE,PRCP,SNOW,TAVG,TMAX,TMIN
2020-01-01,0.03,0,32,38,28
2020-01-02,0.08,0,36,48,28
2020-01-03,0.94,0,48,51,45
2020-01-04,0.24,0.1,44,49,32
2020-01-05,0.02,0,31,37,29
2020-01-06,0,0,37,42,34
2020-01-07,0,0,33,38,25
2020-01-08,0.02,0.4,32,36,19
2020-01-09,0,0,25,45,16
2020-01-10,0.14,0,47,55,44
2020-01-11,0.08,0,59,71,53
2020-01-12,0,0,49,62,36
2020-01-13,0,0,39,50,30
2020-01-14,0,0,40,51,34
2020-01-15,0.02,0,41,53,32
2020-01-16,0.04,0.5,41,51,24
2020-01-17,0.02,0.5,26,29,23
2020-01-18,0.72,1.4,30,47,23
2020-01-19,0.01,0.3,28,37,15
2020-01-20,0,0.1,18,26,13
2020-01-21,0,0,20,24,13
2020-01-22,0,0,20,36,9
2020-01-23,0,0,30,45,19
2020-01-24,1.04,0,39,44,36
2020-01-25,0.19,0.1,41,43,33
2020-01-26,0.03,0.5,33,33,31
2020-01-27,0.01,0,33,34,32
2020-01-28,0.01,0,33,35,31
2020-01-29,0,0,31,34,25
2020-01-30,0,0,27,33,22
2020-01-31,0.05,0.3,32,39,30
2020-02-01,0.06,0.7,32,34,30
2020-02-02,0.03,0.2,38,54,31
2020-02-03,0,0,48,62,34
2020-02-04,0.27,0,54,60,32
2020-02-05,0.33,0,33,36,30
2020-02-06,0.35,0,36,40,32
2020-02-07,0.36,5.1,30,32,24
2020-02-08,0.02,0,27,32,23
2020-02-09,0.04,0,31,41,29
2020-02-10,0.38,0,42,47,39
2020-02-11,0.04,0.1,36,39,32
2020-02-12,0.41,0.7,33,36,26
2020-02-13,0.29,0.5,33,35,26
2020-02-14,0.01,0.2,23,26,12
2020-02-15,0,0,19,35,8
2020-02-16,0,0,36,40,27
2020-02-17,0,0,32,46,21
2020-02-18,0.03,0,47,51,35
2020-02-19,0,0,35,39,25
2020-02-20,0,0,26,28,16
2020-02-21,0,0,21,33,11
2020-02-22,0,0,31,46,22
2020-02-23,0,0,38,51,26
2020-02-24,0,0,45,54,35
2020-02-25,0.11,0,45,48,41
2020-02-26,0.5,0,45,49,31
2020-02-27,0.07,1.3,28,31,21
2020-02-28,0,0,25,32,20
2020-02-29,0,0,24,32,18
2020-03-01,0,0,30,47,19
2020-03-02,0.05,0,47,57,39
2020-03-03,0.58,0,49,56,39
2020-03-04,0,0,42,53,34
2020-03-05,0,0,38,50,25
2020-03-06,0.06,0.1,37,41,29
2020-03-07,0,0,34,42,29
2020-03-08,0,0,41,60,28
2020-03-09,0,0,55,66,46
2020-03-10,0.14,0,54,61,38
2020-03-11,0,0,40,47,37
2020-03-12,0,0,50,64,42
2020-03-13,0.12,0,55,57,40
2020-03-14,0.16,0.7,40,44,31
2020-03-15,0.01,0.2,37,51,32
2020-03-16,0.07,0,39,47,28
2020-03-17,0.05,0,43,45,39
2020-03-18,0.75,0,42,56,28
2020-03-19,0.42,0,54,65,49
2020-03-20,0.9,0,62,72,37
2020-03-21,0,0,35,37,29
2020-03-22,0,0,36,50,28
2020-03-23,0.23,0,44,48,39
2020-03-24,0,0,40,44,37
2020-03-25,0.19,0,45,55,42
2020-03-26,0.05,0,51,68,36
2020-03-27,0.17,0,53,58,49
2020-03-28,0.81,0,58,72,50
2020-03-29,0.05,0,67,77,57
2020-03-30,0,0,52,57,41
2020-03-31,0.02,0,42,46,38
2020-04-01,0.04,0,45,53,38
2020-04-02,0,0,44,58,32
2020-04-03,0,0,47,60,32
2020-04-04,0,0,48,64,34
