date,ride_count
2020-01-01,4135
2020-01-02,6969
2020-01-03,5048
2020-01-04,3979
2020-01-05,3864
2020-01-06,7310
2020-01-07,5094
2020-01-08,6602
2020-01-09,6562
2020-01-10,7455
2020-01-11,8474
2020-01-12,8347
2020-01-13,8193
2020-01-14,6559
2020-01-15,9281
2020-01-16,7685
2020-01-17,6303
2020-01-18,2281
2020-01-19,3941
2020-01-20,3535
2020-01-21,6004
2020-01-22,6820
2020-01-23,7286
2020-01-24,7913
2020-01-25,5048
2020-01-26,5241
2020-01-27,7193
2020-01-28,7574
2020-01-29,7888
2020-01-30,7373
2020-01-31,7012
2020-02-01,5717
2020-02-02,5289
2020-02-03,8744
2020-02-04,8202
2020-02-05,6877
2020-02-06,4257
2020-02-07,5211
2020-02-08,5634
2020-02-09,5859
2020-02-10,3270
2020-02-11,5933
2020-02-12,6708
2020-02-13,5251
2020-02-14,5924
2020-02-15,3797
2020-02-16,5079
2020-02-17,6103
2020-02-18,7791
2020-02-19,7675
2020-02-20,6833
2020-02-21,5883
2020-02-22,6628
2020-02-23,7055
2020-02-24,7755
2020-02-25,5764
2020-02-26,7379
2020-02-27,6415
2020-02-28,6813
2020-02-29,4055
2020-03-01,5322
2020-03-02,7666
2020-03-03,7651
2020-03-04,9127
2020-03-05,8377
2020-03-06,6932
2020-03-07,6193
2020-03-08,7513
2020-03-09,9803
2020-03-10,8697
2020-03-11,8505
2020-03-12,7930
2020-03-13,7211
2020-03-14,6045
2020-03-15,3339
2020-03-16,3941
2020-03-17,3908
2020-03-18,3819
2020-03-19,4559
2020-03-20,4809
2020-03-21,5210
2020-03-22,4424
2020-03-23,1059
2020-03-24,2679
2020-03-25,940
2020-03-26,2815
2020-03-27,3192
2020-03-28,2293
2020-03-29,4171
2020-03-30,2901
2020-03-31,1499
2020-04-01,1763
2020-04-02,2080
2020-04-03,2486
2020-04-04,3152
2020-04-05,4437
2020-04-06,2864
2020-04-07,1967
2020-04-08,3195
2020-04-09,1905
2020-04-10,1600
2020-04-11,4059
2020-04-12,3243
2020-04-13,1730
2020-04-14,2084
2020-04-15,2283
2020-04-16,2078
2020-04-17,2174
2020-04-18,2632
2020-04-19,4683
2020-04-20,2319
2020-04-21,1905
2020-04-22,2717
2020-04-23,1272
2020-04-24,1828
2020-04-25,4712
2020-04-26,1833
2020-04-27,2045
2020-04-28,1683
2020-04-29,3743
2020-04-30,777
2020-05-01,2969
2020-05-02,9025
2020-05-03,3663
2020-05-04,3717
2020-05-05,2374
2020-05-06,1385
2020-05-07,3932
2020-05-08,1817
2020-05-09,2911
2020-05-10,5824
2020-05-11,2259
2020-05-12,3028
2020-05-13,4141
2020-05-14,3610
2020-05-15,5817
2020-05-16,9012
2020-05-17,5659
2020-05-18,2941
2020-05-19,3202
2020-05-20,3417
2020-05-21,3729
2020-05-22,3055
