date,Snow,Precipitation_per_day(mm),Average_daily_tempeture(F),Maximum_daily_tempeture(F),Minimum_daily_tempeture(F),Maximum_daily_tempeture(C),Minimum_daily_tempeture(C),Average_daily_tempeture(C)
2020-01-01,0.0,0.0,46.5,53.0,40.0,12.777777777777779,5.555555555555555,9.166666666666666
2020-01-02,0.0,0.0,38.5,50.0,27.0,11.11111111111111,-1.6666666666666667,4.722222222222222
2020-01-03,0.0,0.21,40.5,53.0,28.0,12.777777777777779,-1.1111111111111112,5.833333333333333
2020-01-04,0.0,0.11,51.5,55.0,48.0,13.88888888888889,10.0,11.944444444444445
2020-01-05,0.0,0.2,48.5,59.0,38.0,16.11111111111111,4.444444444444445,10.277777777777779
2020-01-06,0.0,0.0,36.5,42.0,31.0,6.666666666666667,0.5555555555555556,3.611111111111111
2020-01-07,0.0,0.0,41.5,54.0,29.0,13.333333333333334,-0.5555555555555556,6.388888888888889
2020-01-08,0.4,0.4,39.0,47.0,31.0,9.444444444444445,0.5555555555555556,5.0
2020-01-09,0.0,0.0,36.0,46.0,26.0,8.88888888888889,-2.2222222222222223,3.3333333333333335
2020-01-10,0.0,0.0,33.5,39.0,28.0,5.0,-1.1111111111111112,1.9444444444444444
2020-01-11,0.0,0.0,49.0,60.0,38.0,16.666666666666668,4.444444444444445,10.555555555555555
2020-01-12,0.0,0.28,63.0,73.0,53.0,23.88888888888889,12.777777777777779,18.333333333333332
2020-01-13,0.0,0.0,57.0,72.0,42.0,23.333333333333332,6.666666666666667,15.0
2020-01-14,0.0,0.02,47.0,53.0,41.0,12.777777777777779,6.111111111111111,9.444444444444445
2020-01-15,0.0,0.0,45.0,48.0,42.0,10.0,6.666666666666667,8.333333333333334
2020-01-16,0.0,,,,,,,
2020-01-17,0.0,0.0,42.5,55.0,30.0,13.88888888888889,0.0,6.944444444444445
2020-01-18,0.0,0.0,32.0,38.0,26.0,4.444444444444445,-2.2222222222222223,1.1111111111111112
2020-01-19,0.0,0.33,35.0,43.0,27.0,7.222222222222222,-1.6666666666666667,2.7777777777777777
2020-01-20,0.0,0.0,34.5,45.0,24.0,8.333333333333334,-3.3333333333333335,2.5
2020-01-21,0.0,0.0,29.0,36.0,22.0,3.3333333333333335,-4.444444444444445,-0.5555555555555556
2020-01-22,0.0,0.0,28.5,37.0,20.0,3.888888888888889,-5.555555555555555,-0.8333333333333334
2020-01-23,0.0,0.0,31.5,41.0,22.0,6.111111111111111,-4.444444444444445,0.8333333333333334
2020-01-24,0.0,0.0,35.0,44.0,26.0,7.777777777777778,-2.2222222222222223,2.7777777777777777
2020-01-25,0.0,1.25,43.0,51.0,35.0,11.666666666666666,2.7777777777777777,7.222222222222222
2020-01-26,0.0,0.0,42.0,51.0,33.0,11.666666666666666,1.6666666666666667,6.666666666666667
2020-01-27,0.0,0.0,41.0,48.0,34.0,10.0,2.2222222222222223,6.111111111111111
2020-01-28,0.0,0.0,43.0,49.0,37.0,10.555555555555555,3.888888888888889,7.222222222222222
2020-01-29,0.0,0.0,42.5,46.0,39.0,8.88888888888889,5.0,6.944444444444445
2020-01-30,0.0,0.0,37.0,47.0,27.0,9.444444444444445,-1.6666666666666667,3.888888888888889
